Country,Year,PM25
AE,2015,118.71428571428571
AE,2016,92.0
AE,2018,122.68343195266272
AE,2019,111.88193989965096
AE,2020,82.90097274521946
AE,2021,95.89788069073784
AF,2019,187.45762711864407
AF,2020,110.71841657715719
AF,2021,116.37477141394193
AR,2016,44.680473372781066
AR,2017,51.02150537634409
AR,2018,42.752808988764045
AR,2019,39.31785550758765
AR,2020,35.712358286582514
AR,2021,35.213276179598196
AT,2015,52.816
AT,2016,46.36657681940701
AT,2017,52.716931216931215
AT,2018,54.27197802197802
AT,2019,44.128076197130696
AT,2020,40.03810751104565
AT,2021,40.239653183643924
AU,2015,27.32782874617737
AU,2016,23.30703259005146
AU,2017,25.393066666666666
AU,2018,24.39543937708565
AU,2019,28.354614789444103
AU,2020,23.720916456381044
AU,2021,20.953765821996228
BA,2017,110.8663101604278
BA,2018,91.60454545454546
BA,2019,82.6347917638344
BA,2020,85.07590011771464
BA,2021,76.29630299218664
BD,2016,127.54237288135593
BD,2017,157.49732620320856
BD,2018,159.80898876404495
BD,2019,142.79249262335603
BD,2020,139.460557299843
BD,2021,153.18155623389362
BE,2015,51.05825242718446
BE,2016,43.056
BE,2017,55.89487632508834
BE,2018,49.46287809349221
BE,2019,39.33423665700525
BE,2020,34.815209421779265
BE,2021,39.680381407751085
BG,2015,72.14473684210526
BG,2016,131.0
BG,2017,93.00561797752809
BG,2018,81.20689655172414
BG,2019,75.15849164637984
BG,2020,2.0
BH,2017,128.7528735632184
BH,2018,142.81286549707602
BH,2019,117.49582649151614
BH,2020,112.25914115646259
BH,2021,118.20801984205657
BR,2015,54.20855614973262
BR,2016,47.61141304347826
BR,2017,43.605333333333334
BR,2018,48.75801749271137
BR,2019,47.20754765511525
BR,2020,35.31508746931488
BR,2021,37.38592756477591
CA,2015,30.064112903225805
CA,2016,25.15801270078446
CA,2017,23.912782485875706
CA,2018,27.51520771513353
CA,2019,25.174867054165198
CA,2020,24.281757043699063
CA,2021,26.24027991346804
CH,2016,2.4516129032258065
CH,2017,3.3979591836734695
CH,2018,2.414772727272727
CH,2019,2.2421840187304105
CH,2020,2.1511150852093417
CH,2021,1.9974489795918366
CI,2020,66.31758506002873
CI,2021,85.56381426151242
