State,Year,PM25
Arizona,2015,27.200213891703253
Arizona,2016,27.580213903743314
Arizona,2017,29.558201058201057
Arizona,2018,27.994505494505496
Arizona,2019,22.716542386185242
Arizona,2020,28.378826530612244
Arizona,2021,27.69289638932496
Arkansas,2015,31.237758537758538
Arkansas,2016,30.067031798056465
Arkansas,2017,28.536159918512862
Arkansas,2018,32.65934065934066
Arkansas,2019,34.19445131731622
Arkansas,2020,33.77984162414966
Arkansas,2021,35.87863860105898
California,2015,40.95128457385626
California,2016,36.17263690610129
California,2017,33.956768954104845
California,2018,37.45598290598291
California,2019,33.38486158580063
California,2020,41.22440583340079
California,2021,36.01231605185029
Colorado,2015,26.95767195767196
Colorado,2016,25.502673796791445
Colorado,2017,27.6984126984127
Colorado,2018,27.782857142857143
Colorado,2019,30.40423861852433
Colorado,2020,31.882653061224488
Colorado,2021,33.94373135020553
Connecticut,2015,37.77777777777778
Connecticut,2016,26.40106951871658
Connecticut,2017,25.74074074074074
Connecticut,2018,28.95054945054945
Connecticut,2019,28.736263736263737
Connecticut,2020,28.964285714285715
Connecticut,2021,29.93622448979592
District of Columbia,2015,37.66137566137566
District of Columbia,2016,31.513368983957218
District of Columbia,2017,26.85185185185185
District of Columbia,2018,30.725274725274726
District of Columbia,2019,28.501177394034535
District of Columbia,2020,26.82908163265306
District of Columbia,2021,30.428571428571427
Florida,2015,38.603726339020454
Florida,2016,32.74241800869872
Florida,2017,35.420634920634924
Florida,2018,32.99235019124522
Florida,2019,28.841070795563883
Florida,2020,32.04974489795919
Florida,2021,30.350765306122447
Georgia,2015,33.603459703075295
Georgia,2016,33.84373872248286
Georgia,2017,29.71957671957672
Georgia,2018,31.835164835164832
Georgia,2019,37.11018445839874
Georgia,2020,31.793367346938776
Georgia,2021,35.198821796759944
Hawaii,2015,23.867724867724867
Hawaii,2016,20.235294117647058
Hawaii,2017,18.444444444444443
Hawaii,2018,17.685082872928177
Hawaii,2019,16.55690737833595
Hawaii,2020,18.86479591836735
Hawaii,2021,15.707385214196702
Idaho,2015,32.52910052910053
Idaho,2016,14.95187165775401
Idaho,2017,27.155080213903744
Idaho,2018,20.697802197802197
Idaho,2019,27.629030479953432
Idaho,2020,32.88633494634968
Idaho,2021,32.57671470650116
Illinois,2015,37.026455026455025
Illinois,2016,32.6951871657754
Illinois,2017,32.682539682539684
Illinois,2018,32.467032967032964
Illinois,2019,36.239010989010985
Illinois,2020,32.11734693877551
Illinois,2021,36.34438775510204
Indiana,2015,41.58282208588957
Indiana,2016,35.95187165775401
Indiana,2017,32.51851851851852
Indiana,2018,34.82967032967033
Indiana,2019,35.11234416843661
Indiana,2020,34.744897959183675
Indiana,2021,39.06887755102041
