Country Name,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021
Aruba,75.4,75.46,75.53,75.64,75.6,75.68,75.62,75.9,76.07,76.25,75.72,74.63
Africa Eastern and Southern,58.41,59.29,60.05,60.71,61.34,61.86,62.44,62.92,63.37,63.76,63.31,62.45
Afghanistan,60.85,61.42,61.92,62.42,62.54,62.66,63.14,63.02,63.08,63.56,62.58,61.98
Africa Western and Central,54.55,55.01,55.34,55.67,55.92,56.2,56.58,56.89,57.19,57.56,57.23,56.99
Angola,56.73,57.6,58.62,59.31,60.04,60.66,61.09,61.68,62.14,62.45,62.26,61.64
Albania,77.94,78.09,78.06,78.12,78.41,78.64,78.86,79.05,79.18,79.28,76.99,76.46
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,70.04,70.26,70.18,70.2,70.49,70.76,70.94,71.43,71.63,71.84,70.92,70.81
United Arab Emirates,78.33,78.52,78.72,78.85,79.04,79.22,79.33,79.5,79.63,79.73,78.95,78.71
Argentina,75.72,76.12,76.47,76.49,76.76,76.76,76.31,76.83,77.0,77.28,75.89,75.39
Armenia,73.16,73.31,73.45,73.68,74.06,74.44,74.66,74.91,75.06,75.44,72.17,72.04
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,76.82,77.1,77.35,77.58,77.86,77.91,78.15,78.27,78.51,78.69,78.84,78.5
Australia,81.7,81.9,82.05,82.15,82.3,82.4,82.45,82.5,82.75,82.9,83.2,83.3
Austria,80.58,80.98,80.94,81.14,81.49,81.19,81.64,81.64,81.69,81.9,81.19,81.24
Azerbaijan,69.53,69.98,70.36,70.88,71.12,71.45,72.0,72.25,72.76,73.1,66.87,69.37
Burundi,57.08,57.77,58.49,59.24,59.87,60.22,60.79,61.55,61.69,62.35,61.57,61.66
Belgium,80.18,80.59,80.39,80.59,81.29,80.99,81.44,81.49,81.6,82.0,80.7,81.89
Benin,58.36,58.46,58.72,58.96,59.12,59.38,59.54,59.86,60.14,60.45,60.09,59.82
Burkina Faso,56.48,57.12,57.62,57.82,58.36,58.84,59.33,59.54,60.05,60.04,59.73,59.27
Bangladesh,68.64,68.81,69.55,69.56,69.99,70.49,71.09,71.79,72.57,72.81,71.97,72.38
Bulgaria,73.51,74.16,74.31,74.86,74.47,74.61,74.81,74.81,74.96,75.11,73.66,71.51
Bahrain,78.75,78.89,79.08,79.25,79.33,79.4,79.56,79.69,79.86,80.02,79.17,78.76
"Bahamas, The",72.73,72.56,72.75,73.02,73.37,73.1,73.54,73.63,73.81,71.2,72.68,71.6
Bosnia and Herzegovina,77.07,77.01,77.19,76.33,75.66,76.18,76.81,76.94,77.09,77.24,76.22,75.3
Belarus,70.4,70.55,71.97,72.47,72.97,73.62,73.83,74.13,74.18,74.23,72.46,72.37
Belize,72.27,72.65,73.24,73.67,73.31,73.19,73.4,73.56,73.7,73.93,72.85,70.47
Bermuda,80.5,81.4,81.27,79.99,79.52,80.92,80.61,82.35,80.82,81.03,81.14,79.28
Bolivia,66.16,66.53,66.7,67.02,67.16,67.32,67.63,67.7,67.75,67.84,64.47,63.63
Brazil,73.18,73.34,73.55,73.92,74.31,74.33,74.44,74.83,75.11,75.34,74.01,72.75
Barbados,75.71,75.92,76.1,76.28,76.48,76.65,76.82,76.94,77.07,77.26,77.39,77.57
Brunei Darussalam,74.85,74.86,74.83,74.8,74.78,74.75,74.73,74.72,74.71,74.75,74.8,74.64
Bhutan,68.43,68.88,69.33,69.71,70.05,70.34,70.6,70.85,71.13,71.39,71.61,71.82
Botswana,60.01,60.53,60.8,62.0,62.61,63.82,65.46,66.75,65.42,65.46,65.65,61.14
Central African Republic,49.26,49.95,50.69,50.9,50.57,52.79,53.46,53.72,54.37,55.02,54.6,53.9
Canada,81.32,81.48,81.66,81.74,81.78,81.82,81.92,81.83,81.84,82.23,81.67,82.6
Central Europe and the Baltics,75.29,75.89,75.99,76.36,76.68,76.57,76.97,76.95,76.98,77.27,76.09,74.93
Switzerland,82.25,82.7,82.7,82.8,83.2,82.9,83.6,83.55,83.75,83.9,83.0,83.85
Channel Islands,81.12,81.73,81.34,81.52,81.88,81.43,81.37,81.33,81.38,81.39,81.26,81.23
Chile,78.5,79.11,79.02,79.34,79.47,79.75,80.08,80.35,80.13,80.33,79.38,78.94
China,75.6,75.9,76.19,76.45,76.72,76.98,77.22,77.25,77.74,77.97,78.08,78.21
Cote d'Ivoire,55.02,55.52,56.16,56.75,57.21,57.76,58.06,58.48,58.85,59.32,59.03,58.6
Cameroon,56.58,57.13,57.79,58.48,58.94,59.66,60.23,60.81,61.18,61.58,60.83,60.33
"Congo, Dem. Rep.",56.42,57.07,57.25,57.76,58.3,58.49,59.07,59.41,59.94,60.28,59.74,59.19
"Congo, Rep.",61.68,61.99,62.32,62.7,62.95,63.23,63.58,63.76,64.05,62.75,63.78,63.52
Colombia,75.03,75.32,75.6,75.83,76.04,76.26,76.47,76.65,76.75,76.75,74.77,72.83
Comoros,61.12,61.5,61.83,62.22,62.52,62.9,63.24,63.62,63.91,64.07,64.17,63.42
Cabo Verde,73.5,74.26,74.48,75.06,75.24,74.62,75.74,76.59,75.73,76.0,74.81,74.05
Costa Rica,78.67,79.35,79.28,79.4,78.77,79.09,79.46,79.38,79.48,79.43,79.28,77.02
Caribbean small states,72.02,72.36,72.64,72.72,72.68,72.61,72.56,72.6,72.58,72.52,72.58,71.0
Cuba,77.66,77.76,77.83,77.87,77.85,77.77,77.64,77.53,77.5,77.61,77.57,73.68
Curacao,0.0,77.47,77.52,77.83,77.98,78.08,77.72,78.02,0.0,0.0,0.0,0.0
Cayman Islands,82.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,79.67,80.0,80.11,80.4,80.77,80.97,81.06,81.33,81.38,81.4,81.39,81.2
Czechia,77.42,77.87,78.08,78.18,78.82,78.58,79.03,78.98,79.03,79.23,78.23,77.37
Germany,79.99,80.44,80.54,80.49,81.09,80.64,80.99,80.99,80.89,81.29,81.04,80.9
Djibouti,60.26,60.43,60.85,61.22,61.64,61.96,62.19,62.8,63.04,63.08,62.69,62.3
Dominica,71.55,69.69,70.54,68.9,69.43,68.73,70.13,67.53,73.59,73.56,73.65,72.81
Denmark,79.1,79.8,80.05,80.3,80.7,80.7,80.85,81.1,80.95,81.45,81.6,81.4
Dominican Republic,72.09,72.22,72.51,72.71,72.87,72.95,72.99,73.06,73.23,73.58,72.89,72.61
Algeria,73.81,74.12,74.2,74.61,75.11,75.62,75.73,75.74,76.07,76.47,74.45,76.38
East Asia & Pacific (excluding high income),73.88,74.15,74.4,74.64,74.9,75.12,75.32,75.39,75.8,76.0,75.94,75.54
Early-demographic dividend,67.87,68.29,68.67,69.07,69.49,69.87,70.22,70.54,70.8,71.02,70.03,68.47
East Asia & Pacific,74.73,74.97,75.23,75.48,75.73,75.95,76.14,76.21,76.59,76.8,76.76,76.39
Europe & Central Asia (excluding high income),70.77,71.22,71.65,72.1,72.31,72.59,72.9,73.41,73.61,73.9,72.22,71.43
Europe & Central Asia,75.99,76.46,76.64,76.99,77.3,77.23,77.57,77.78,77.91,78.19,76.96,76.63
Ecuador,75.43,75.74,76.06,76.37,76.62,76.79,76.76,76.97,77.09,77.3,72.15,73.67
"Egypt, Arab Rep.",69.66,69.88,70.08,70.05,70.42,70.48,70.84,71.3,71.37,71.36,70.99,70.22
Euro area,80.75,81.23,81.23,81.51,81.94,81.57,81.96,81.93,82.05,82.33,81.54,81.71
Eritrea,63.79,64.4,64.84,65.07,65.6,66.03,66.29,66.58,67.07,67.3,67.13,66.54
Spain,81.63,82.48,82.43,83.08,83.23,82.83,83.33,83.28,83.43,83.83,82.33,83.18
Estonia,75.43,76.23,76.33,77.14,77.03,77.59,77.64,78.09,78.24,78.65,78.6,76.74
Ethiopia,59.73,60.72,61.54,62.37,62.9,63.65,64.39,64.84,65.41,65.84,65.37,64.97
European Union,79.63,80.14,80.16,80.46,80.87,80.57,80.95,80.93,81.03,81.31,80.45,80.39
Fragile and conflict affected situations,59.31,59.96,60.16,60.46,60.71,61.01,61.29,61.65,61.97,62.27,61.76,61.25
Finland,79.87,80.47,80.63,80.98,81.18,81.48,81.43,81.63,81.73,81.98,81.93,81.93
Fiji,67.33,67.52,67.55,67.43,67.38,66.84,67.24,67.79,67.81,67.89,67.92,67.11
France,81.66,82.11,81.97,82.22,82.72,82.32,82.57,82.58,82.68,82.83,82.18,82.32
Faroe Islands,80.64,80.94,81.19,81.44,81.59,81.79,82.04,82.34,82.6,82.95,83.2,83.5
"Micronesia, Fed. Sts.",71.23,71.32,71.4,71.5,71.53,71.41,71.6,71.47,71.32,71.08,70.67,70.71
Gabon,63.9,64.04,64.59,64.78,64.97,65.46,65.8,66.19,66.31,66.6,66.53,65.82
United Kingdom,80.4,80.95,80.9,81.0,81.3,80.96,81.16,81.26,81.26,81.4,80.35,80.7
Georgia,72.13,72.39,72.41,72.63,73.1,73.3,73.57,73.57,73.34,73.47,72.76,71.69
Ghana,61.16,61.65,62.08,62.42,63.04,63.18,63.89,64.01,64.12,64.74,64.11,63.8
Gibraltar,80.96,81.87,83.37,80.55,81.88,80.43,81.7,81.83,82.15,82.36,82.2,79.33
