"StateFIPS","State","Year","Value","Data Comment",
"04","Arizona","2015","27,686","",
"04","Arizona","2016","26,719","",
"04","Arizona","2017","26,287","",
"04","Arizona","2018","25,296","",
"04","Arizona","2019","25,232","",
"04","Arizona","2020","15,869","",
"04","Arizona","2021","17,574","",
"06","California","2015","190,719","",
"06","California","2016","174,180","",
"06","California","2017","179,666","",
"06","California","2018","163,423","",
"06","California","2019","165,438","",
"08","Colorado","2015","18,352","",
"08","Colorado","2016","16,852","",
"08","Colorado","2017","17,745","",
"08","Colorado","2018","17,589","",
"08","Colorado","2019","16,638","",
"08","Colorado","2020","11,254","",
"09","Connecticut","2015","19,979","",
"09","Connecticut","2016","19,195","",
"09","Connecticut","2017","18,858","",
"09","Connecticut","2018","18,560","",
"09","Connecticut","2019","17,444","",
"09","Connecticut","2020","10,035","",
"09","Connecticut","2021","12,328","",
"12","Florida","2015","122,382","",
"12","Florida","2016","114,790","",
"12","Florida","2017","110,771","",
"12","Florida","2018","113,487","",
"12","Florida","2019","107,744","",
"12","Florida","2020","69,241","",
"12","Florida","2021","81,427","",
"19","Iowa","2015","11,957","",
"19","Iowa","2016","10,092","",
"19","Iowa","2017","9,862","",
"19","Iowa","2018","9,520","",
"19","Iowa","2019","8,619","",
"19","Iowa","2020","6,283","",
"19","Iowa","2021","7,066","",
"20","Kansas","2015","11,485","",
"20","Kansas","2016","9,916","",
"20","Kansas","2017","10,487","",
"20","Kansas","2018","10,093","",
"20","Kansas","2019","10,486","",
"20","Kansas","2020","7,050","",
"20","Kansas","2021","7,637","",
"21","Kentucky","2015","22,465","",
"21","Kentucky","2016","17,732","",
"21","Kentucky","2017","15,897","",
"21","Kentucky","2018","15,810","",
"21","Kentucky","2019","15,241","",
"21","Kentucky","2020","9,552","",
"22","Louisiana","2015","26,561","",
"22","Louisiana","2016","23,261","",
"22","Louisiana","2017","24,004","",
"22","Louisiana","2018","23,535","",
"22","Louisiana","2019","23,439","",
"23","Maine","2015","6,264","",
"23","Maine","2016","5,255","",
"23","Maine","2017","4,924","",
"23","Maine","2018","4,632","",
"23","Maine","2019","4,213","",
"23","Maine","2020","2,698","",
"24","Maryland","2015","41,977","",
"24","Maryland","2016","37,263","",
"24","Maryland","2017","34,170","",
"24","Maryland","2018","32,177","",
"25","Massachusetts","2015","42,901","",
"25","Massachusetts","2016","38,677","",
"25","Massachusetts","2017","37,203","",
"25","Massachusetts","2018","36,792","",
"25","Massachusetts","2019","34,641","",
"26","Michigan","2018","47,476","",
"26","Michigan","2019","47,979","",
"26","Michigan","2020","29,038","",
"27","Minnesota","2015","19,755","",
"27","Minnesota","2016","18,159","",
"27","Minnesota","2017","15,527","",
"27","Minnesota","2018","15,126","",
"27","Minnesota","2019","14,557","",
"27","Minnesota","2020","9,111","",
"29","Missouri","2015","33,505","",
"29","Missouri","2016","28,463","",
"29","Missouri","2017","27,598","",
"29","Missouri","2018","26,640","",
"29","Missouri","2019","24,750","",
"29","Missouri","2020","17,254","",
"33","New Hampshire","2015","5,197","",
"33","New Hampshire","2016","4,336","",
"33","New Hampshire","2017","4,199","",
"33","New Hampshire","2018","4,207","",
"33","New Hampshire","2019","3,885","",
"33","New Hampshire","2020","2,596","",
"34","New Jersey","2015","53,188","",
"34","New Jersey","2016","50,027","",
"34","New Jersey","2017","47,818","",
"34","New Jersey","2018","45,578","",
"34","New Jersey","2019","42,523","",
"34","New Jersey","2020","23,848","",
"34","New Jersey","2021","28,539","",
"35","New Mexico","2015","8,431","",
"35","New Mexico","2016","7,180","",
"35","New Mexico","2017","6,821","",
"35","New Mexico","2018","7,097","",
"35","New Mexico","2019","6,102","",
"35","New Mexico","2020","3,963","",
"35","New Mexico","2021","4,291","",
"36","New York","2015","173,002","",
"36","New York","2016","158,842","",
"36","New York","2017","146,549","",
"36","New York","2018","144,198","",
"36","New York","2019","133,857","",
"36","New York","2020","70,498","",
"36","New York","2021","77,561","",
"37","North Carolina","2015","40,616","",
"37","North Carolina","2016","48,312","",
"37","North Carolina","2017","56,503","",
"37","North Carolina","2018","66,540","",
"37","North Carolina","2019","51,533","",
"37","North Carolina","2020","36,629","",
"37","North Carolina","2021","29,783","",
"41","Oregon","2018","12,736","",
"41","Oregon","2019","11,961","",
"41","Oregon","2020","8,717","",
"41","Oregon","2021","7,800","",
"44","Rhode Island","2015","5,886","",
"44","Rhode Island","2016","5,477","",
"44","Rhode Island","2017","5,261","",
"44","Rhode Island","2018","4,786","",
"44","Rhode Island","2019","4,721","",
"44","Rhode Island","2020","2,397","",
"44","Rhode Island","2021","2,916","",
"47","Tennessee","2015","36,282","",
"47","Tennessee","2016","32,852","",
"47","Tennessee","2017","32,030","",
"47","Tennessee","2018","31,993","",
"47","Tennessee","2019","30,293","",
"49","Utah","2015","6,929","",
"49","Utah","2016","5,873","",
"49","Utah","2017","6,245","",
"49","Utah","2018","6,046","",
"49","Utah","2019","6,176","",
"49","Utah","2020","4,866","",
"49","Utah","2021","5,881","",
"50","Vermont","2015","2,725","",
"50","Vermont","2016","2,085","",
"50","Vermont","2017","1,745","",
"50","Vermont","2018","1,790","",
"50","Vermont","2019","1,729","",
"50","Vermont","2020","1,103","",
"55","Wisconsin","2015","24,823","",
"55","Wisconsin","2016","21,869","",
"55","Wisconsin","2017","21,655","",
"55","Wisconsin","2018","20,736","",
"55","Wisconsin","2019","20,166","",
"55","Wisconsin","2020","13,235","",
"55","Wisconsin","2021","15,821","",
